Film Title,Year,Your Rating,RT Link,RT Score (Fill In)
Fast and the Furious 6: The,2013,13,https://www.rottentomatoes.com/m/fast_and_the_furious_6_the,
Mud,2013,14,https://www.rottentomatoes.com/m/mud,
Stuck In Love,2013,13,https://www.rottentomatoes.com/m/stuck_in_love,
The Hunger Games 2: Catching Fire,2013,15,https://www.rottentomatoes.com/m/the_hunger_games_2_catching_fire,
The Iceman,2013,13,https://www.rottentomatoes.com/m/the_iceman,
The Iceman,2013,12,https://www.rottentomatoes.com/m/the_iceman,
The Place Beyond the Pines,2013,15,https://www.rottentomatoes.com/m/the_place_beyond_the_pines,
Wall St,2013,14,https://www.rottentomatoes.com/m/wall_st,
Zero Dark Thirty,2013,13,https://www.rottentomatoes.com/m/zero_dark_thirty,
21 Jump St,2012,11,https://www.rottentomatoes.com/m/21_jump_st,
Celeste and Jesse Forever,2012,12,https://www.rottentomatoes.com/m/celeste_and_jesse_forever,
Dr. Strangelove,2012,13,https://www.rottentomatoes.com/m/dr_strangelove,
Friends with Kids,2012,11,https://www.rottentomatoes.com/m/friends_with_kids,
Jiro Dreams of Sushi,2012,15,https://www.rottentomatoes.com/m/jiro_dreams_of_sushi,
Les Miserables,2012,13,https://www.rottentomatoes.com/m/les_miserables,
"Park Avenue: Money, Power, and the American Dream",2012,8,https://www.rottentomatoes.com/m/park_avenue_money_power_and_the_american_dream,
The Hunter,2012,13,https://www.rottentomatoes.com/m/the_hunter,
"Tinker, Taylor, Soldier, Spy",2012,13,https://www.rottentomatoes.com/m/tinker_taylor_soldier_spy,
Y Tu Mama Tambien,2012,11,https://www.rottentomatoes.com/m/y_tu_mama_tambien,
"Crazy, Stupid, Love",2011,13,https://www.rottentomatoes.com/m/crazy_stupid_love,
Happy,2011,10,https://www.rottentomatoes.com/m/happy,
Mission Impossible 4,2011,13,https://www.rottentomatoes.com/m/mission_impossible_4,
Scream: The Inside Story,2011,14,https://www.rottentomatoes.com/m/scream_i,
Senna,2011,14,https://www.rottentomatoes.com/m/senna,
Something Ventured,2011,11,https://www.rottentomatoes.com/m/something_ventured,
The Road Uphill,2011,12,https://www.rottentomatoes.com/m/the_road_uphill,
Knight & Day,2010,10,https://www.rottentomatoes.com/m/knight_day,
Once Brothers,2010,13,https://www.rottentomatoes.com/m/once_brothers,
Percy Jackson and the Olympians: The Lightning Thief,2010,6,https://www.rottentomatoes.com/m/percy_jackson_and_the_olympians_the_lightning_thief,
War Games,2010,10,https://www.rottentomatoes.com/m/war_games,
Bronson,2009,10,https://www.rottentomatoes.com/m/bronson,
Fast & Furious (4),2009,10,https://www.rottentomatoes.com/m/fast_furious_4,
Food Inc.,2009,12,https://www.rottentomatoes.com/m/food_inc,
Hancock,2009,3,https://www.rottentomatoes.com/m/hancock,
"I Love You, Man",2009,11,https://www.rottentomatoes.com/m/i_love_you_man,
Inglorious Basterds,2009,15,https://www.rottentomatoes.com/m/inglorious_basterds,
Michael Jackson's This is It,2009,10,https://www.rottentomatoes.com/m/michael_jacksons_this_is_it,
Sunshine Cleaning,2009,12,https://www.rottentomatoes.com/m/sunshine_cleaning,
The Hurt Locker,2009,14,https://www.rottentomatoes.com/m/the_hurt_locker,
Two Lovers,2009,14,https://www.rottentomatoes.com/m/two_lovers,
Tyson,2009,13,https://www.rottentomatoes.com/m/tyson,
"Bigger, Stronger, Faster*",2008,15,https://www.rottentomatoes.com/m/bigger_stronger_faster,
"Definitely, Maybe",2008,11,https://www.rottentomatoes.com/m/definitely_maybe,
In Search of a Midnight Kiss,2008,12,https://www.rottentomatoes.com/m/in_search_of_a_midnight_kiss,
Married Life,2008,12,https://www.rottentomatoes.com/m/married_life,
The Grand,2008,9,https://www.rottentomatoes.com/m/the_grand,
The Visitor,2008,15,https://www.rottentomatoes.com/m/the_visitor,
Twenty One,2008,8,https://www.rottentomatoes.com/m/twenty_one,
Zack & Miri Make A Porno,2008,12,https://www.rottentomatoes.com/m/zack_miri_make_a_porno,
"4 Months, 3 Weeks and 2 Days",2007,13,https://www.rottentomatoes.com/m/4_months_3_weeks_and_2_days,
Confessions of a Superhero,2007,8,https://www.rottentomatoes.com/m/confessions_of_a_superhero,
Goal,2007,8,https://www.rottentomatoes.com/m/goal,
"Gone, Baby, Gone",2007,15,https://www.rottentomatoes.com/m/gone_baby_gone,
I Now Pronounce You Chuck and Larry,2007,10,https://www.rottentomatoes.com/m/i_now_pronounce_you_chuck_and_larry,
Mr. and Mrs. Smith,2007,12,https://www.rottentomatoes.com/m/mr_and_mrs_smith,
Pirates of the Caribbean 3: At World's End,2007,7,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_3_at_worlds_end,
Spiderman 3,2007,12,https://www.rottentomatoes.com/m/spiderman_3,
Sweeney Todd: The Demon Barber of Fleet St,2007,14,https://www.rottentomatoes.com/m/sweeney_todd_the_demon_barber_of_fleet_st,
Akeelah & the Bee,2006,7,https://www.rottentomatoes.com/m/akeelah_the_bee,
Pirates of the Caribbean 2: Dead Man's Chest,2006,9,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_2_dead_mans_chest,
Shut Up and Sing,2006,13,https://www.rottentomatoes.com/m/shut_up_and_sing,
Sketches of Frank Gehry,2006,12,https://www.rottentomatoes.com/m/sketches_of_frank_gehry,
Van Wilder 2: The Rise of Taj,2006,10,https://www.rottentomatoes.com/m/van_wilder_2_the_rise_of_taj,
Why We Fight,2006,10,https://www.rottentomatoes.com/m/why_we_fight,
"You, Me, and Dupree",2006,8,https://www.rottentomatoes.com/m/you_me_and_dupree,
Bastards of the Party,2005,15,https://www.rottentomatoes.com/m/bastards_of_the_party,
Fun with Dick & Jane,2005,5,https://www.rottentomatoes.com/m/fun_with_dick_jane,
Oliver Twist,2005,13,https://www.rottentomatoes.com/m/oliver_twist,
The Inside Man,2005,14,https://www.rottentomatoes.com/m/the_inside_man,
The Island,2005,10,https://www.rottentomatoes.com/m/the_island,
